"Nazwa dewelopera";"Forma prawna dewelopera";"Nr KRS";"Nr wpisu do CEiDG";"Nr NIP";"Nr REGON";"Nr telefonu";"Adres poczty elektronicznej";"Nr faxu";"Adres strony internetowej dewelopera";"Województwo adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera";"Powiat adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera ";"Gmina adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera";"Miejscowość adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera";"Ulica adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera";"Nr nieruchomości adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera";"Nr lokalu adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera";"Kod pocztowy adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera";"Województwo adresu lokalu, w którym prowadzona jest sprzedaż";"Powiat adresu lokalu, w którym prowadzona jest sprzedaż";"Gmina adresu lokalu, w którym prowadzona jest sprzedaż";"Miejscowość adresu lokalu, w którym prowadzona jest sprzedaż";"Ulica adresu lokalu, w którym prowadzona jest sprzedaż";"Nr nieruchomości adresu lokalu, w którym prowadzona jest sprzedaż";"Nr lokalu adresu lokalu, w którym prowadzona jest sprzedaż";"Kod pocztowy adresu lokalu, w którym prowadzona jest sprzedaż";"Dodatkowe lokalizacje, w których prowadzona jest sprzedaż";"Sposób kontaktu nabywcy z deweloperem";"Nazwa przedsięwzięcia deweloperskiego lub zadania inwestycyjnego";"Województwo lokalizacji przedsięwzięcia deweloperskiego lub zadania inwestycyjnego";"Powiat lokalizacji przedsięwzięcia deweloperskiego lub zadania inwestycyjnego";"Gmina lokalizacji przedsięwzięcia deweloperskiego lub zadania inwestycyjnego";"Miejscowość lokalizacji przedsięwzięcia deweloperskiego lub zadania inwestycyjnego";"Ulica lokalizacji przedsięwzięcia deweloperskiego lub zadania inwestycyjnego";"Nr nieruchomości lokalizacji przedsięwzięcia deweloperskiego lub zadania inwestycyjnego";"Kod pocztowy lokalizacji przedsięwzięcia deweloperskiego lub zadania inwestycyjnego";"Rodzaj nieruchomości";"Nr produktu nadany przez dewelopera";"Powierzchnia użytkowa [m2]";"Cena brutto/m2 powierzchni użytkowej produktu [zł]";"Data od której obowiązuje cena brutto/m2 powierzchni użytkowej produktu";"Cena brutto produktu będącego przedmiotem umowy stanowiąca iloczyn ceny m2 oraz powierzchni użytkowej [zł]";"Data od której obowiązuje cena brutto produktu będącego przedmiotem umowy stanowiąca iloczyn ceny m2 oraz powierzchni użytkowej";"Cena brutto produktu uwzględniająca cenę produktu stanowiącą iloczyn powierzchni użytkowej oraz metrażu i innych składowych ceny, o których mowa w art. 19a ust. 1 pkt 1), 2) lub 3) [zł]";"Data od której obowiązuje cena brutto produktu uwzględniająca cenę produktu stanowiącą iloczyn powierzchni użytkowej oraz metrażu i innych składowych ceny, o których mowa w art. 19a ust. 1 pkt 1), 2) lub 3)"
"Kowalski";"spółka z o.o.";"0001200406";"X";"5911728068";"X";"514-514-514";"kontakt@deweloperjawneceny.pl";"X";"www.deweloperjawneceny.pl";"Pomorskie";"kościerski";"Kościerzyna";"Kościerzyna";"Juliana Fałata";"5A";"X";"83-400";"Pomorskie";"kościerski";"Kościerzyna";"Kościerzyna";"Juliana Fałata";"5A";"X";"83-400";"biuro na placu";"telefonicznie, mailowo";"Leśny Zakątek";"Pomorskie";"kościerski";"Kościerzyna";"Kościerzyna";"Juliana Fałata";"5A";"83-400";"Lokal mieszkalny";"A1";"32.76";"11220.00";"2025-11-03 16:21:51";"367567.20";"2025-11-03 16:21:51";"367567.20";"2025-11-09 15:02:00"
"Kowalski";"spółka z o.o.";"0001200406";"X";"5911728068";"X";"514-514-514";"kontakt@deweloperjawneceny.pl";"X";"www.deweloperjawneceny.pl";"Pomorskie";"kościerski";"Kościerzyna";"Kościerzyna";"Juliana Fałata";"5A";"X";"83-400";"Pomorskie";"kościerski";"Kościerzyna";"Kościerzyna";"Juliana Fałata";"5A";"X";"83-400";"biuro na placu";"telefonicznie, mailowo";"Leśny Zakątek";"Pomorskie";"kościerski";"Kościerzyna";"Kościerzyna";"Juliana Fałata";"5A";"83-400";"Lokal mieszkalny";"A2";"51.07";"6903.00";"2025-11-03 14:58:08";"352536.21";"2025-11-03 14:58:08";"352536.21";"2025-11-09 15:02:58"
"Kowalski";"spółka z o.o.";"0001200406";"X";"5911728068";"X";"514-514-514";"kontakt@deweloperjawneceny.pl";"X";"www.deweloperjawneceny.pl";"Pomorskie";"kościerski";"Kościerzyna";"Kościerzyna";"Juliana Fałata";"5A";"X";"83-400";"Pomorskie";"kościerski";"Kościerzyna";"Kościerzyna";"Juliana Fałata";"5A";"X";"83-400";"biuro na placu";"telefonicznie, mailowo";"Leśny Zakątek";"Pomorskie";"kościerski";"Kościerzyna";"Kościerzyna";"Juliana Fałata";"5A";"83-400";"Lokal mieszkalny";"A3";"39.00";"8943.00";"2025-11-03 14:58:41";"348777.00";"2025-11-03 14:58:41";"348777.00";"2025-11-09 15:03:05"
"Kowalski";"spółka z o.o.";"0001200406";"X";"5911728068";"X";"514-514-514";"kontakt@deweloperjawneceny.pl";"X";"www.deweloperjawneceny.pl";"Pomorskie";"kościerski";"Kościerzyna";"Kościerzyna";"Juliana Fałata";"5A";"X";"83-400";"Pomorskie";"kościerski";"Kościerzyna";"Kościerzyna";"Juliana Fałata";"5A";"X";"83-400";"biuro na placu";"telefonicznie, mailowo";"Leśny Zakątek";"Pomorskie";"kościerski";"Kościerzyna";"Kościerzyna";"Juliana Fałata";"5A";"83-400";"Lokal mieszkalny";"A4";"71.03";"8618.43";"2025-11-09 14:59:28";"612167.00";"2025-11-09 14:59:28";"612167.00";"2025-11-09 15:03:16"
"Kowalski";"spółka z o.o.";"0001200406";"X";"5911728068";"X";"514-514-514";"kontakt@deweloperjawneceny.pl";"X";"www.deweloperjawneceny.pl";"Pomorskie";"kościerski";"Kościerzyna";"Kościerzyna";"Juliana Fałata";"5A";"X";"83-400";"Pomorskie";"kościerski";"Kościerzyna";"Kościerzyna";"Juliana Fałata";"5A";"X";"83-400";"biuro na placu";"telefonicznie, mailowo";"Leśny Zakątek";"Pomorskie";"kościerski";"Kościerzyna";"Kościerzyna";"Juliana Fałata";"5A";"83-400";"Lokal mieszkalny";"A5";"58.04";"9320.00";"2025-11-03 14:59:31";"540932.80";"2025-11-03 14:59:31";"540932.80";"2025-11-09 15:03:21"
"Kowalski";"spółka z o.o.";"0001200406";"X";"5911728068";"X";"514-514-514";"kontakt@deweloperjawneceny.pl";"X";"www.deweloperjawneceny.pl";"Pomorskie";"kościerski";"Kościerzyna";"Kościerzyna";"Juliana Fałata";"5A";"X";"83-400";"Pomorskie";"kościerski";"Kościerzyna";"Kościerzyna";"Juliana Fałata";"5A";"X";"83-400";"biuro na placu";"telefonicznie, mailowo";"Leśny Zakątek";"Pomorskie";"kościerski";"Kościerzyna";"Kościerzyna";"Juliana Fałata";"5A";"83-400";"Lokal mieszkalny";"A6";"63.09";"7893.00";"2025-11-03 14:59:58";"497969.37";"2025-11-03 14:59:58";"497969.37";"2025-11-09 15:03:43"
"Kowalski";"spółka z o.o.";"0001200406";"X";"5911728068";"X";"514-514-514";"kontakt@deweloperjawneceny.pl";"X";"www.deweloperjawneceny.pl";"Pomorskie";"kościerski";"Kościerzyna";"Kościerzyna";"Juliana Fałata";"5A";"X";"83-400";"Pomorskie";"kościerski";"Kościerzyna";"Kościerzyna";"Juliana Fałata";"5A";"X";"83-400";"biuro na placu";"telefonicznie, mailowo";"Leśny Zakątek";"Pomorskie";"kościerski";"Kościerzyna";"Kościerzyna";"Juliana Fałata";"5A";"83-400";"Lokal mieszkalny";"A7";"64.08";"8462.00";"2025-11-03 15:12:19";"542244.96";"2025-11-03 15:12:19";"542244.96";"2025-11-09 15:03:34"
"Kowalski";"spółka z o.o.";"0001200406";"X";"5911728068";"X";"514-514-514";"kontakt@deweloperjawneceny.pl";"X";"www.deweloperjawneceny.pl";"Pomorskie";"kościerski";"Kościerzyna";"Kościerzyna";"Juliana Fałata";"5A";"X";"83-400";"Pomorskie";"kościerski";"Kościerzyna";"Kościerzyna";"Juliana Fałata";"5A";"X";"83-400";"biuro na placu";"telefonicznie, mailowo";"Leśny Zakątek";"Pomorskie";"kościerski";"Kościerzyna";"Kościerzyna";"Juliana Fałata";"5A";"83-400";"Lokal mieszkalny";"A8";"64.73";"8973.00";"2025-11-03 15:12:47";"580822.29";"2025-11-03 15:12:47";"580822.29";"2025-11-09 15:03:48"
"Kowalski";"spółka z o.o.";"0001200406";"X";"5911728068";"X";"514-514-514";"kontakt@deweloperjawneceny.pl";"X";"www.deweloperjawneceny.pl";"Pomorskie";"kościerski";"Kościerzyna";"Kościerzyna";"Juliana Fałata";"5A";"X";"83-400";"Pomorskie";"kościerski";"Kościerzyna";"Kościerzyna";"Juliana Fałata";"5A";"X";"83-400";"biuro na placu";"telefonicznie, mailowo";"Leśny Zakątek";"Pomorskie";"kościerski";"Kościerzyna";"Kościerzyna";"Juliana Fałata";"5A";"83-400";"Miejsce postojowe";"MP-1";"X";"X";"2025-11-09 15:05:26";"15000.00";"2025-11-09 15:05:26";"15000.00";"2025-11-09 15:05:26"
"Kowalski";"spółka z o.o.";"0001200406";"X";"5911728068";"X";"514-514-514";"kontakt@deweloperjawneceny.pl";"X";"www.deweloperjawneceny.pl";"Pomorskie";"kościerski";"Kościerzyna";"Kościerzyna";"Juliana Fałata";"5A";"X";"83-400";"Pomorskie";"kościerski";"Kościerzyna";"Kościerzyna";"Juliana Fałata";"5A";"X";"83-400";"biuro na placu";"telefonicznie, mailowo";"Leśny Zakątek";"Pomorskie";"kościerski";"Kościerzyna";"Kościerzyna";"Juliana Fałata";"5A";"83-400";"Miejsce postojowe";"MP-2";"X";"X";"2025-11-09 15:05:45";"15000.00";"2025-11-09 15:05:45";"15000.00";"2025-11-09 15:05:45"
